[2026-06-29 04:29:32,437] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-06-29 04:29:33,757] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-06-29 04:29:35,316] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-06-29 04:29:35,320] 107 dagshub - INFO - Accessing as XVIN-X
[2026-06-29 04:29:37,499] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/XVIN-X/Network-Security-System "HTTP/1.1 200 OK"
[2026-06-29 04:29:38,806] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-06-29 04:29:38,806] 107 dagshub - INFO - Initialized MLflow to track repo "XVIN-X/Network-Security-System"
[2026-06-29 04:29:38,822] 107 dagshub - INFO - Repository XVIN-X/Network-Security-System initialized!
[2026-06-29 04:29:38,822] 15 root - INFO - Initiate the data ingestion
[2026-06-29 04:30:03,552] 65 root - INFO - Performed train test split on the dataframe
[2026-06-29 04:30:03,552] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-29 04:30:03,553] 75 root - INFO - Exporting train and test file path.
[2026-06-29 04:30:03,636] 84 root - INFO - Exported train and test file path.
[2026-06-29 04:30:03,637] 19 root - INFO - Data Initiation Completed
[2026-06-29 04:30:03,637] 22 root - INFO - Initiate the data Validation
[2026-06-29 04:30:03,685] 32 root - INFO - Required number of columns:2
[2026-06-29 04:30:03,685] 33 root - INFO - Data frame has columns:31
[2026-06-29 04:30:03,685] 32 root - INFO - Required number of columns:2
[2026-06-29 04:30:03,685] 33 root - INFO - Data frame has columns:31
[2026-06-29 04:30:03,959] 26 root - INFO - Data Validation Completed
[2026-06-29 04:30:03,959] 29 root - INFO - data Transformation started
[2026-06-29 04:30:03,960] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-29 04:30:03,960] 65 root - INFO - Starting data transformation
[2026-06-29 04:30:03,998] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-06-29 04:30:03,998] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-29 04:30:04,016] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-29 04:30:04,019] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-06-29 04:30:04,019] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-29 04:30:04,023] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-06-29 04:30:04,024] 34 root - INFO - data Transformation completed
[2026-06-29 04:30:04,024] 36 root - INFO - Model Training sstared
[2026-06-29 04:35:36,639] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-29 04:35:36,639] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-06-29 04:35:36,639] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-29 04:35:36,649] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-06-29 04:35:36,649] 125 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_29_2026_04_29_20\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907817672523554, precision_score=0.989924689599023, recall_score=0.9916403303089), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9874426948375523, precision_score=0.9860668789808917, recall_score=0.9888223552894212))
[2026-06-29 04:35:36,651] 40 root - INFO - Model Training artifact created
